,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Sewer Connection,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Orientation South,Type property
0,333500,2,100,2,1,1,0,1,14,0,30,0,10,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,379000,1,80,2,1,1,0,1,21,0,25,1,22,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,295000,2,80,1,1,1,0,1,11,0,28,0,8,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,635000,2,217,2,1,3,0,2,25,0,64,0,23,1,2,40,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,595000,2,207,1,2,2,0,2,16,0,61,0,22,2,2,10,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,615000,2,170,2,1,2,0,1,24,0,50,0,18,1,3,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,615000,1,170,2,1,2,0,1,24,0,50,0,18,1,3,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,515000,3,130,1,2,1,0,1,18,0,39,0,14,1,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,550000,3,130,1,2,1,0,1,18,0,39,0,14,1,2,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,355000,1,82,2,1,1,0,1,12,0,25,0,8,1,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,375000,1,73,2,1,1,0,1,10,0,22,0,7,1,2,26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,395000,2,107,2,2,1,0,1,15,0,32,0,11,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,455000,2,107,2,1,1,0,1,15,0,32,0,11,1,2,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,470000,2,105,2,1,1,0,1,15,0,31,0,11,1,2,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,229000,2,80,1,1,1,0,2,13,0,26,0,13,1,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,199000,1,56,1,1,1,0,2,14,0,25,1,6,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,749000,2,150,1,1,2,0,2,22,0,44,0,16,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,439000,4,205,1,2,2,0,2,28,0,61,0,22,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,348000,2,173,1,1,1,0,1,24,0,51,0,18,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,310000,1,95,2,1,2,0,1,18,0,65,0,10,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,165000,1,36,1,1,1,0,2,5,0,11,0,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,399000,2,96,2,1,1,0,1,17,0,40,1,10,1,4,9,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,140000,1,45,1,1,1,0,2,8,0,19,0,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,560000,1,177,2,1,1,0,1,18,0,60,1,16,1,2,25,0,1,1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0
